corner_id,latitude,longitude,max_brake,brake_std,n_observations,corner_type
1,39.79875891549246,-86.23899950299945,61.74,34.569429517173944,7,heavy
2,39.79283599853515,-86.23499145507813,76.83500000000001,37.546703317335336,5,heavy
3,39.79192818535699,-86.23302968343098,20.205,6.914376227188618,9,light
4,39.791591008504234,-86.23207600911458,38.18,8.329102242538907,6,medium
5,39.78810589130108,-86.23419248140775,85.595,24.824139751924474,13,heavy
6,39.789001811634414,-86.23528497869319,52.08,16.08715563310172,11,medium
7,39.79832077026367,-86.23903274536133,84.6325,4.310785891226794,4,heavy
8,39.80098516290838,-86.23695720325817,74.41,12.427337808235517,11,heavy
9,39.793546199798584,-86.23501491546631,94.6875,10.747497050808756,8,heavy
10,39.79763946533203,-86.23901062011718,100.93,14.66508123059671,5,heavy
